"Now Shopping by",現在買い物をしている人
"Please use tag SCRIPT with SRC attribute or with proper content to include JavaScript to the document.",ドキュメントにJavaScriptを含めるためには、SRC属性もしくは適切な内容のタグSCRIPTを使用して下さい。
"The date is not within the specified range.",データが指定された範囲にありません。
Attention,注意
Close,閉じる
Ok,OK
"Label Button 2","ラベルボタン 2"
"Label Actions One","ラベルアクション 1"
"Label Actions Two","ラベルアクション 2"
"Some Dynamic Actions",いくつかの動的なアクション
"Log JS Errors to Session Storage",JSエラーをセッションストレージに記録する
"Log JS Errors to Session Storage Key",JSエラーをセッションストレージキーに記録する
CSV,CSVファイル
"Excel XML",Excel形式XML
"Initialization error component, check the spelling of the name or the correctness of the call.","初期化エラーコンポーネント, 名称のスペルや呼び出しの適切さを確認します。"
"Select Items",商品を選択
Submit,送信
Reset,リセット
Apply,適用
Export,エクスポート
"We couldn't find any records.",レコードが見つかりませんでした
Custom,カスタム
"per page",件
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.",6文字以上を入力してください。先頭と最後の空白は無視されます。
"The fewest you may purchase is %1.",購入の最低限数量は%1です。
"You can buy this product only in quantities of %1 at a time.",この商品は数量%1づつのみ一度に買うことができます。
"Please enter a value less than or equal to %s.",%s以下か同じ数の値を入力してください。
"Please enter a value greater than or equal to %s.",%s以上か同じ数の値を入力してください。
"Insert Images...",画像を挿入...
"The ""formElement"" configuration parameter is required for the ""%1"" field.","設定パラメータ ""formElement"" は ""%1"" フィールドに必須です。"
"An item needs to be selected. Select and try again.",商品を選択する必要があります。選択して再度お試し下さい。
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'ファイル ""%1"" のXMLが無効です:' ""\n%2\n XMLを有効にして再度お試し下さい。"""
"The parameter ""class"" is missing. Set the ""class"" and try again.","""class""のパラメータがありません。""class""を設定して再度お試し下さい。"
"The parameter ""sortOrder"" is missing. Set the ""sortOrder"" and try again.","""sortOrder""のパラメータがありません。""sortOrder""を設定して再度お試し下さい。"
"The bookmark with ""%1"" ID doesn't exist. Verify your information and try again.","ID ""%1"" のブックマークが見つかりません。あなたの情報を確認して再度お試し下さい。"
"Entity with ID: %s doesn't exist","ID を持つエンティティ: %s が存在しません。"
"Attribute Properties",属性のプロパティ
"Default Label",標準のラベル
"Default label",ディフォルトラベル
"Attribute Code",属性コード
"This is used internally. Make sure you don't use spaces or more than %1 symbols.",これは内部用です。スペースまたは%1シンボル以上を使わないようにしてください。
"Catalog Input Type for Store Owner",店舗管理者のカタログ入力形式
"Values Required",値が必要
"Default Value",標準の値
"Unique Value",一意な値
"Unique Value (not shared with other products)","一意な値 (他の商品と共有しない)"
"Not shared with other products.",他の属性と共有しない。
"Input Validation for Store Owner",管理画面で値チェックを行う
Required,必須
System,システム
"Decimal Number",10進数
"Integer Number",自然数
Letters,文字列
"Letters (a-z, A-Z) or Numbers (0-9)","アルファベット(a-z, A-Z)または数字(0-9)"
"Text Field",テキストフィールド
"Text Area",テキストエリア
"Multiple Select",複数選択
Dropdown,ドロップダウン
"Input type ""%value%"" not found in the input types list.","入力形式 ""%value%"" は入力形式リストにありません。"
"Attribute object is undefined",属性オブジェクトが未定義です
"Entity object is undefined",エンティティオブジェクトが未定義です
"""%1"" invalid type entered.","""%1""不正なタイプが入力された"
"""%1"" contains non-alphabetic or non-numeric characters.","""%1""はアルファベットでも数字でもない字を含んでいます"
